,--input-signal-depth,--cells,--genes,--delay,--output-cell-fraction,--window-size,--tissue-depth,--function,--recursive
0,12,1,10,0,1.0,3,0,3bit,
1,12,1,10,0,1.0,5,0,5bit,
2,12,1,20,0,1.0,3,0,3bit,
3,12,1,20,0,1.0,5,0,5bit,
4,12,1,30,0,1.0,3,0,3bit,
5,12,1,30,0,1.0,5,0,5bit,
6,12,1,100,0,1.0,3,0,3bit,
7,12,1,100,0,1.0,5,0,5bit,
8,12,1728,10,0,1.0,3,0,3bit,
9,12,1728,10,0,1.0,5,0,5bit,
10,12,1728,20,0,1.0,3,0,3bit,
11,12,1728,20,0,1.0,5,0,5bit,
12,12,1728,30,0,1.0,3,0,3bit,
13,12,1728,30,0,1.0,5,0,5bit,
14,12,1728,100,0,1.0,3,0,3bit,
15,12,1728,100,0,1.0,5,0,5bit,
16,1,1728,10,2,0.3333333333333333,3,3,3bit,
17,1,1728,10,2,0.3333333333333333,5,3,5bit,
18,1,1728,20,2,0.3333333333333333,3,3,3bit,
19,1,1728,20,2,0.3333333333333333,5,3,5bit,
20,1,1728,30,2,0.3333333333333333,3,3,3bit,
21,1,1728,30,2,0.3333333333333333,5,3,5bit,
22,1,1728,100,2,0.3333333333333333,3,3,3bit,
23,1,1728,100,2,0.3333333333333333,5,3,5bit,
