,--genes,--cells,--strains,--tissue-depth,--output-cell-fraction,--output-cells-random,--input-fraction,--input-signal-depth,--alpha-esm,--esms,--esm-threshold,--delay,--window-size,--function
0,496,1331,5,0,1.0,,0.915968,4,0.563908,12,77.529802,0,7,parity
1,407,2197,10,0,1.0,,0.483103,12,0.043449,17,36.062847,0,7,parity
2,410,2197,14,0,1.0,,0.118467,8,0.481169,7,17.964109,0,7,parity
3,84,729,18,0,1.0,,0.844313,4,0.033434,13,17.206311,0,7,parity
4,450,1000,8,0,1.0,,0.325451,6,0.083071,13,27.666518,0,7,parity
5,409,2744,2,0,1.0,,0.686192,11,0.240337,11,76.37896,0,7,parity
6,441,3375,10,0,1.0,,0.71987,5,0.008323,20,68.790904,0,7,parity
7,471,343,3,0,1.0,,0.496687,15,0.005768,7,46.072577,0,7,parity
8,165,729,20,0,1.0,,0.543404,7,0.008445,17,82.500946,0,7,parity
9,170,343,13,0,1.0,,0.667476,6,0.007946,6,19.973967,0,7,parity
10,401,1,18,0,1.0,,0.178843,1,0.105758,19,29.329534,0,7,parity
11,302,729,15,0,1.0,,0.29797,14,0.223363,18,88.011123,0,7,parity
12,403,27,4,0,1.0,,0.39458,10,0.152951,20,20.729455,0,7,parity
13,313,343,14,0,1.0,,0.570833,8,0.009121,2,30.387748,0,7,parity
14,438,2197,16,0,1.0,,0.651407,9,0.012222,8,44.383665,0,7,parity
15,379,1728,4,0,1.0,,0.459291,9,0.009018,4,31.766466,0,7,parity
16,498,27,7,0,1.0,,0.990991,11,0.147158,12,14.416064,0,7,parity
17,356,1000,19,0,1.0,,0.453319,13,0.064011,18,56.455612,0,7,parity
18,413,216,13,0,1.0,,0.845812,1,0.00894,20,57.799315,0,7,parity
19,58,1728,5,0,1.0,,0.32271,12,0.08574,9,72.806852,0,7,parity
20,80,216,15,0,1.0,,0.661409,12,0.019146,19,84.817923,0,7,parity
21,424,2744,14,0,1.0,,0.818114,4,0.006664,14,64.686021,0,7,parity
22,371,1,19,0,1.0,,0.43342,5,0.03519,20,44.051563,0,7,parity
23,19,1000,15,0,1.0,,0.611663,1,0.020136,11,25.189248,0,7,parity
24,391,27,3,0,1.0,,0.62318,8,0.016076,11,84.678366,0,7,parity
25,128,1000,6,0,1.0,,0.845234,7,0.113487,7,72.388111,0,7,parity
26,254,1331,4,0,1.0,,0.930644,10,0.102314,1,79.536421,0,7,parity
27,303,216,20,0,1.0,,0.634025,15,0.015708,0,22.34881,0,7,parity
28,40,2197,16,0,1.0,,0.33273,5,0.013966,10,20.586966,0,7,parity
29,211,3375,7,0,1.0,,0.4435,11,0.029634,13,34.627543,0,7,parity
30,274,64,11,0,1.0,,0.870869,9,0.006854,2,86.468652,0,7,parity
31,215,512,12,0,1.0,,0.891381,7,0.006708,17,33.006036,0,7,parity
32,220,1331,15,0,1.0,,0.973956,1,0.063646,4,93.006274,0,7,parity
33,373,3375,19,0,1.0,,0.899222,13,0.056097,6,58.128516,0,7,parity
34,37,512,15,0,1.0,,0.229714,9,0.023857,16,99.047118,0,7,parity
35,30,1331,1,0,1.0,,0.784778,4,0.171722,14,59.586065,0,7,parity
36,24,1,20,0,1.0,,0.712632,3,0.012737,1,18.941379,0,7,parity
37,106,125,13,0,1.0,,0.457296,11,0.038041,0,22.450546,0,7,parity
38,227,729,14,0,1.0,,0.412673,6,0.054767,17,16.669108,0,7,parity
39,364,125,20,0,1.0,,0.599195,10,0.019307,9,40.198667,0,7,parity
40,172,1000,4,0,1.0,,0.659084,8,0.608554,4,18.952625,0,7,parity
41,57,1,7,0,1.0,,0.631732,8,0.022471,19,84.149352,0,7,parity
42,427,512,3,0,1.0,,0.427323,15,0.258303,9,92.775444,0,7,parity
43,180,125,15,0,1.0,,0.741246,5,0.013308,11,78.749772,0,7,parity
44,374,125,3,0,1.0,,0.813258,3,0.130203,17,68.271194,0,7,parity
45,437,1000,1,0,1.0,,0.76123,6,0.011303,13,83.344074,0,7,parity
46,166,8,18,0,1.0,,0.926699,1,0.107891,5,79.852057,0,7,parity
47,152,1,9,0,1.0,,0.844565,3,0.010999,7,76.461696,0,7,parity
48,78,2744,8,0,1.0,,0.67378,7,0.048648,7,46.64815,0,7,parity
49,451,2197,12,0,1.0,,0.664468,3,0.01477,14,80.698704,0,7,parity
50,199,27,4,0,1.0,,0.866736,10,0.006571,19,67.338604,0,7,parity
51,445,1000,12,0,1.0,,0.985194,15,0.023054,5,59.910046,0,7,parity
52,62,1331,5,0,1.0,,0.303677,13,0.025735,2,65.243791,0,7,parity
53,497,1331,19,0,1.0,,0.702416,7,0.036648,14,26.727889,0,7,parity
54,133,729,12,0,1.0,,0.88525,15,0.014115,11,84.016581,0,7,parity
55,201,8,19,0,1.0,,0.772331,8,0.041674,18,35.321685,0,7,parity
56,346,1728,15,0,1.0,,0.878749,11,0.253248,19,21.55483,0,7,parity
57,175,8,20,0,1.0,,0.854769,4,0.009619,4,79.40368,0,7,parity
58,366,343,18,0,1.0,,0.538507,10,0.007218,6,48.090606,0,7,parity
59,75,1331,13,0,1.0,,0.709598,7,0.053623,12,35.041828,0,7,parity
60,183,3375,2,0,1.0,,0.786043,5,0.633808,9,26.79529,0,7,parity
61,379,1331,11,0,1.0,,0.207084,12,0.031833,6,43.536665,0,7,parity
62,494,1,8,0,1.0,,0.599633,5,0.044191,5,54.661203,0,7,parity
63,449,1000,2,0,1.0,,0.313139,6,0.037913,13,61.400859,0,7,parity
64,191,8,19,0,1.0,,0.859975,11,0.054028,3,74.879276,0,7,parity
65,78,512,4,0,1.0,,0.208449,6,0.043011,15,41.226408,0,7,parity
66,481,3375,8,0,1.0,,0.58589,5,0.045094,7,95.941759,0,7,parity
67,249,64,2,0,1.0,,0.694107,13,0.005761,2,72.560349,0,7,parity
68,167,3375,16,0,1.0,,0.669579,14,0.015515,5,43.026011,0,7,parity
69,241,125,15,0,1.0,,0.113506,6,0.015749,13,64.887587,0,7,parity
70,295,3375,9,0,1.0,,0.915629,3,0.164216,2,30.163331,0,7,parity
71,393,27,6,0,1.0,,0.452584,4,0.068414,6,86.041865,0,7,parity
72,50,2197,11,0,1.0,,0.522627,9,0.010052,0,60.239595,0,7,parity
73,437,1000,16,0,1.0,,0.547578,9,0.448164,18,13.665066,0,7,parity
74,236,1728,1,0,1.0,,0.432736,3,0.006714,3,57.591522,0,7,parity
75,448,27,5,0,1.0,,0.560491,7,0.184543,12,49.497207,0,7,parity
76,380,2197,7,0,1.0,,0.464525,6,0.005952,16,62.09059,0,7,parity
77,413,343,9,0,1.0,,0.191161,6,0.045888,17,74.889636,0,7,parity
78,138,1,9,0,1.0,,0.381623,11,0.028575,9,33.144301,0,7,parity
79,334,3375,11,0,1.0,,0.309005,14,0.079121,13,53.344976,0,7,parity
80,188,2197,9,0,1.0,,0.281435,9,0.073962,4,47.946611,0,7,parity
81,260,729,17,0,1.0,,0.306878,9,0.012723,8,62.539532,0,7,parity
82,476,216,4,0,1.0,,0.194909,5,0.006131,4,82.705876,0,7,parity
83,45,343,9,0,1.0,,0.219501,3,0.021244,19,99.337298,0,7,parity
84,376,343,10,0,1.0,,0.108549,3,0.00598,9,83.655776,0,7,parity
85,171,125,10,0,1.0,,0.181134,4,0.006347,7,49.56313,0,7,parity
86,189,27,15,0,1.0,,0.559214,7,0.067654,4,90.929876,0,7,parity
87,105,64,17,0,1.0,,0.702609,7,0.013586,19,94.152177,0,7,parity
88,341,512,17,0,1.0,,0.965783,9,0.006375,6,73.94034,0,7,parity
89,458,1,5,0,1.0,,0.811831,13,0.007507,3,71.901926,0,7,parity
90,459,343,8,0,1.0,,0.900506,12,0.044297,11,98.118411,0,7,parity
91,386,1000,5,0,1.0,,0.772285,7,0.009334,16,63.934798,0,7,parity
92,362,512,18,0,1.0,,0.513146,6,0.005591,14,73.606399,0,7,parity
93,230,343,18,0,1.0,,0.265336,14,0.096139,13,86.577426,0,7,parity
94,187,2197,6,0,1.0,,0.81159,6,0.271037,6,37.401869,0,7,parity
95,293,2744,7,0,1.0,,0.613762,8,0.01203,1,87.153424,0,7,parity
96,18,3375,14,0,1.0,,0.172043,8,0.006457,3,90.775582,0,7,parity
97,147,343,3,0,1.0,,0.151807,10,0.061644,13,57.26921,0,7,parity
98,238,3375,8,0,1.0,,0.508709,13,0.109167,11,93.756308,0,7,parity
99,87,3375,10,0,1.0,,0.920333,13,0.013547,20,34.561806,0,7,parity
100,188,729,5,0,1.0,,0.797153,14,0.007958,7,95.919818,0,7,parity
101,60,64,12,0,1.0,,0.282194,5,0.081281,4,41.294668,0,7,parity
102,239,2197,3,0,1.0,,0.421806,10,0.012098,20,89.285203,0,7,parity
103,165,1,13,0,1.0,,0.299757,1,0.015505,13,22.873958,0,7,parity
104,454,125,14,0,1.0,,0.57705,10,0.010843,10,90.107616,0,7,parity
105,267,1000,14,0,1.0,,0.631558,12,0.133646,0,94.838645,0,7,parity
106,255,2744,5,0,1.0,,0.369241,9,0.023649,16,28.209708,0,7,parity
107,59,2197,2,0,1.0,,0.480314,6,0.006411,6,90.209301,0,7,parity
108,258,512,9,0,1.0,,0.176988,1,0.315941,10,30.383489,0,7,parity
109,114,27,14,0,1.0,,0.615243,13,0.106457,17,68.062808,0,7,parity
110,307,8,11,0,1.0,,0.799366,1,0.02727,9,35.455344,0,7,parity
111,114,2197,14,0,1.0,,0.994061,4,0.031716,4,15.707786,0,7,parity
112,307,1000,4,0,1.0,,0.321211,9,0.014641,15,99.961949,0,7,parity
113,229,8,18,0,1.0,,0.460299,3,0.048358,10,13.386052,0,7,parity
114,493,125,18,0,1.0,,0.162057,3,0.006081,2,35.693516,0,7,parity
115,193,1,14,0,1.0,,0.294035,13,0.051286,16,23.183401,0,7,parity
116,365,1331,18,0,1.0,,0.296789,12,0.310293,16,64.956662,0,7,parity
117,416,1,11,0,1.0,,0.343403,5,0.010495,17,58.37087,0,7,parity
118,97,1000,3,0,1.0,,0.893263,9,0.034609,5,75.288425,0,7,parity
119,33,216,10,0,1.0,,0.297736,11,0.038696,13,86.598184,0,7,parity
120,302,1331,8,0,1.0,,0.789961,15,0.295334,15,22.198521,0,7,parity
121,427,216,17,0,1.0,,0.40253,11,0.019741,17,59.024158,0,7,parity
122,467,3375,18,0,1.0,,0.485407,9,0.022984,16,74.206692,0,7,parity
123,289,729,3,0,1.0,,0.231627,6,0.011787,13,57.144365,0,7,parity
124,111,2197,9,0,1.0,,0.456597,8,0.076027,12,45.101348,0,7,parity
125,29,2744,4,0,1.0,,0.153748,13,0.278311,3,34.214366,0,7,parity
126,405,512,11,0,1.0,,0.195453,14,0.006119,10,16.279278,0,7,parity
127,486,1000,13,0,1.0,,0.784621,13,0.007976,13,71.58139,0,7,parity
128,377,2197,7,0,1.0,,0.819089,15,0.006308,13,61.280004,0,7,parity
129,447,729,7,0,1.0,,0.892909,11,0.005976,20,22.623188,0,7,parity
130,232,8,10,0,1.0,,0.344792,1,0.547855,13,48.231307,0,7,parity
131,209,125,9,0,1.0,,0.108132,15,0.00745,11,60.480389,0,7,parity
132,309,512,12,0,1.0,,0.90784,4,0.009919,5,28.530718,0,7,parity
133,382,64,5,0,1.0,,0.397971,4,0.035246,17,92.633529,0,7,parity
134,84,2744,5,0,1.0,,0.681757,8,0.626345,20,76.99989,0,7,parity
135,262,64,2,0,1.0,,0.956784,11,0.176374,12,51.609021,0,7,parity
136,69,1331,10,0,1.0,,0.396529,15,0.006782,4,60.349014,0,7,parity
137,284,125,3,0,1.0,,0.508794,9,0.123134,7,37.01115,0,7,parity
138,26,1728,12,0,1.0,,0.978027,11,0.013059,17,15.541799,0,7,parity
139,440,2744,11,0,1.0,,0.589672,3,0.027446,19,97.90588,0,7,parity
140,169,64,13,0,1.0,,0.612917,4,0.052049,9,45.807887,0,7,parity
141,170,125,2,0,1.0,,0.927215,5,0.032294,4,93.403745,0,7,parity
142,128,8,18,0,1.0,,0.634904,13,0.020032,6,90.985461,0,7,parity
143,118,729,17,0,1.0,,0.58948,10,0.005934,11,50.302617,0,7,parity
144,247,512,14,0,1.0,,0.739955,8,0.04303,20,82.092237,0,7,parity
145,298,1728,19,0,1.0,,0.293686,11,0.051339,15,72.936647,0,7,parity
146,370,1,3,0,1.0,,0.52997,13,0.021634,18,48.697672,0,7,parity
147,276,1,19,0,1.0,,0.793725,14,0.006604,1,41.561819,0,7,parity
148,147,1331,15,0,1.0,,0.35944,4,0.010812,10,40.239265,0,7,parity
149,188,1331,18,0,1.0,,0.300116,3,0.012599,3,81.710322,0,7,parity
150,473,1331,6,0,1.0,,0.492596,15,0.005784,9,97.702175,0,7,parity
151,223,3375,15,0,1.0,,0.625366,3,0.118055,15,98.335817,0,7,parity
152,195,8,17,0,1.0,,0.140753,10,0.012793,3,61.398437,0,7,parity
153,159,216,16,0,1.0,,0.28693,9,0.035384,16,50.612873,0,7,parity
154,151,125,14,0,1.0,,0.336426,13,0.013922,15,63.438963,0,7,parity
155,360,512,7,0,1.0,,0.886786,7,0.145319,10,96.228126,0,7,parity
156,145,2197,7,0,1.0,,0.283878,9,0.035167,6,51.073079,0,7,parity
157,459,1000,8,0,1.0,,0.521803,2,0.009271,5,81.664833,0,7,parity
158,262,512,18,0,1.0,,0.230648,12,0.159694,6,42.495731,0,7,parity
159,379,729,20,0,1.0,,0.162937,8,0.020084,15,93.055508,0,7,parity
160,236,1,1,0,1.0,,0.783772,9,0.009754,13,69.506117,0,7,parity
161,177,64,1,0,1.0,,0.368849,12,0.034893,19,33.170272,0,7,parity
162,243,3375,17,0,1.0,,0.121013,3,0.212677,16,73.012595,0,7,parity
163,397,1,20,0,1.0,,0.778912,1,0.037973,16,48.013687,0,7,parity
164,180,512,18,0,1.0,,0.652866,10,0.017992,7,82.490972,0,7,parity
165,251,125,18,0,1.0,,0.546026,8,0.010515,13,87.842861,0,7,parity
166,236,1,6,0,1.0,,0.992729,10,0.012372,7,94.603894,0,7,parity
167,52,216,2,0,1.0,,0.631693,15,0.024273,5,36.892605,0,7,parity
168,81,8,17,0,1.0,,0.955357,4,0.014061,15,83.196526,0,7,parity
169,215,8,14,0,1.0,,0.394468,15,0.010609,9,58.155787,0,7,parity
170,55,2197,18,0,1.0,,0.563966,10,0.078901,8,17.295599,0,7,parity
171,281,1,1,0,1.0,,0.847466,5,0.006277,17,66.937499,0,7,parity
172,96,216,13,0,1.0,,0.714936,2,0.012665,2,64.855817,0,7,parity
173,90,125,1,0,1.0,,0.571742,2,0.140014,11,39.583848,0,7,parity
174,206,125,8,0,1.0,,0.738114,4,0.51723,20,15.090239,0,7,parity
175,422,512,13,0,1.0,,0.869254,14,0.009012,3,99.607041,0,7,parity
176,322,3375,8,0,1.0,,0.731731,14,0.005923,14,91.586998,0,7,parity
177,232,64,4,0,1.0,,0.195967,10,0.144508,5,74.984218,0,7,parity
178,310,1331,9,0,1.0,,0.656271,6,0.100164,4,22.984416,0,7,parity
179,34,3375,19,0,1.0,,0.851227,13,0.011639,7,98.73898,0,7,parity
180,401,729,16,0,1.0,,0.190979,7,0.034851,8,82.94971,0,7,parity
181,465,3375,1,0,1.0,,0.275848,15,0.024703,17,62.390624,0,7,parity
182,194,1000,1,0,1.0,,0.477399,13,0.007582,16,73.635135,0,7,parity
183,140,2744,15,0,1.0,,0.526587,5,0.00725,15,81.300278,0,7,parity
184,283,216,12,0,1.0,,0.802527,4,0.136889,17,61.270667,0,7,parity
185,277,1,16,0,1.0,,0.809563,13,0.133699,8,32.112056,0,7,parity
